,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3,0,0,0,1,2,1,1,1,2,0,1,1,0,1,1,0,0,1,1,0,1
4,1,0,1,1,0,2,2,0,1,0,0,0,0,0,2,0,1,1,1,0,0
5,0,0,0,1,2,2,2,1,2,2,0,1,1,0,1,0,1,2,2,0,2
6,0,1,1,1,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2
7,1,1,2,1,2,2,2,1,2,2,0,0,0,0,0,1,0,1,0,0,1
8,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
9,1,0,1,2,2,2,1,1,0,2,0,1,0,1,0,1,0,1,2,0,1
10,0,1,1,2,2,2,2,1,2,2,1,2,1,2,1,1,0,2,2,0,0
11,1,0,0,1,2,1,1,1,1,2,0,2,1,1,2,1,1,2,2,0,0
12,1,2,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1
13,0,2,2,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1
14,1,1,0,1,2,2,1,0,1,1,2,0,0,0,0,1,0,1,0,1,1
15,0,0,0,1,2,2,2,1,0,1,2,1,1,1,1,1,0,2,1,0,0
16,1,1,1,1,1,2,1,0,0,0,1,1,0,0,0,0,0,1,2,0,0
17,1,1,0,1,2,1,2,0,2,2,2,1,0,0,2,1,1,2,1,0,2
18,0,1,0,2,2,1,1,1,1,2,2,1,1,1,1,0,1,1,2,0,0
19,0,1,1,2,1,2,1,0,1,1,0,0,0,1,0,0,1,0,0,0,2
20,0,1,1,1,2,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1
21,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,2,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
23,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,2,1,1
24,2,2,0,1,2,2,0,1,0,0,2,0,0,1,1,0,1,0,2,1,0
25,1,1,1,1,2,1,0,1,1,0,2,0,0,0,1,1,1,0,1,0,0
26,1,2,1,1,2,1,0,0,2,0,1,0,0,0,2,1,1,0,1,1,1
27,0,1,1,1,2,2,0,0,2,0,2,0,0,0,2,0,1,1,0,1,1
28,0,1,2,1,0,1,1,0,2,1,2,0,1,1,2,1,1,1,1,1,2
29,0,2,2,1,2,1,1,0,1,1,2,0,1,0,1,0,0,2,1,1,2
30,0,2,1,1,0,1,1,0,2,1,1,0,0,0,1,1,0,0,2,0,0
31,1,1,2,2,2,1,2,1,2,1,1,1,0,1,2,0,0,1,1,0,2
32,2,2,0,2,1,1,1,0,2,0,1,1,0,0,1,0,0,1,2,0,1
33,1,1,1,2,2,2,2,0,0,1,0,0,0,1,0,1,0,1,1,1,1
34,2,1,1,1,2,1,2,0,1,1,2,0,1,1,1,1,0,2,1,0,2
35,2,2,2,1,2,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2
36,2,1,0,1,2,2,0,0,0,1,2,1,0,1,2,0,0,0,0,1,2
37,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
38,1,1,2,1,2,1,2,1,1,0,0,0,0,0,0,1,1,0,1,1,1
39,2,1,2,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
40,1,0,1,2,2,1,2,0,0,1,0,0,0,0,0,1,0,0,1,1,1
41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
43,1,0,2,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,1,1,0
44,1,1,1,1,0,0,2,1,1,1,1,0,1,0,2,1,0,0,2,1,0
45,0,1,1,1,2,0,1,1,2,2,2,1,1,1,2,1,1,2,2,1,2
46,1,2,2,1,0,0,1,0,0,0,2,1,0,0,1,0,1,0,1,0,0
47,1,2,1,0,2,0,1,0,2,0,1,0,0,0,2,0,1,1,1,1,0
48,1,1,2,2,2,0,0,1,0,0,2,0,0,1,2,1,0,1,2,1,1
49,2,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
50,0,1,1,1,2,0,2,0,1,1,0,0,0,0,2,1,1,0,2,1,1
51,2,1,2,0,2,0,1,0,0,0,0,0,0,0,1,1,0,1,2,1,0
52,1,0,2,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,2,0,1
53,2,0,2,0,2,0,2,0,1,1,0,1,0,1,1,1,1,2,1,0,1
54,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0
55,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1
56,1,2,1,0,2,0,2,1,0,0,2,0,0,0,0,1,1,1,0,1,0
57,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1
58,0,1,2,0,2,0,1,1,1,0,2,1,0,0,2,0,0,1,0,1,1
59,1,0,2,0,0,0,0,0,1,1,2,1,1,1,1,1,0,2,0,1,1
60,0,2,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
