SampleNo,Subject,UtteranceNo,TrueClass,feature_value_0,feature_value_1,feature_value_2,feature_value_3,feature_value_4,feature_value_5,feature_value_6,feature_value_7,feature_value_8,feature_value_9,feature_value_10,feature_value_11,feature_value_12,feature_value_13,feature_value_14,feature_value_15,feature_value_16,feature_value_17,feature_value_18,feature_value_19,feature_value_20,feature_value_21,feature_value_22,feature_value_23,feature_value_24,feature_value_25,feature_value_26,feature_value_27,feature_value_28,feature_value_29,feature_value_30,feature_value_31,feature_value_32,feature_value_33,feature_value_34,feature_value_35,feature_value_36,feature_value_37,feature_value_38,feature_value_39,feature_value_40,feature_value_41,feature_value_42,feature_value_43,feature_value_44,feature_value_45,feature_value_46,feature_value_47,feature_value_48,feature_value_49,feature_value_50,feature_value_51,feature_value_52,feature_value_53,feature_value_54,feature_value_55,feature_value_56,feature_value_57,feature_value_58,feature_value_59,feature_value_60,feature_value_61,feature_value_62,feature_value_63,feature_value_64,feature_value_65,feature_value_66,feature_value_67,feature_value_68,feature_value_69,feature_value_70,feature_value_71,feature_value_72,feature_value_73,feature_value_74,feature_value_75,feature_value_76,feature_value_77,feature_value_78,feature_value_79,feature_value_80,feature_value_81,feature_value_82,feature_value_83,feature_value_84,feature_value_85,feature_value_86,feature_value_87,feature_value_88,feature_value_89,feature_value_90,feature_value_91,feature_value_92,feature_value_93,feature_value_94,feature_value_95,feature_value_96,feature_value_97,feature_value_98,feature_value_99,feature_value_100,feature_value_101,feature_value_102,feature_value_103,feature_value_104,feature_value_105,feature_value_106,feature_value_107,feature_value_108,feature_value_109,feature_value_110,feature_value_111,feature_value_112,feature_value_113,feature_value_114,feature_value_115,feature_value_116,feature_value_117,feature_value_118,feature_value_119,feature_value_120,feature_value_121,feature_value_122,feature_value_123,feature_value_124,feature_value_125,feature_value_126,feature_value_127
1.0,1.0,1.0,0.0,6.235752503211245,3.081725573857172,11.060540407404421,-12.092665791155373,-3.031640226343784,1.6556347873530008,-11.024026449641456,-18.94167656364252,6.1704779279137165,-5.568137493090969,-2.4280457148934937,-8.61874049996431,9.357723743565659,6.066122505965616,3.15002978189903,12.94057621264939,-12.902377875730988,-4.892449337285327,14.941267195710301,1.429988772927948,-7.975953552136013,13.046547474761445,-1.5491213446824275,-3.547194958603061,-6.813494363960505,11.42429896373353,6.317412126940324,1.89971208327205,8.653652399040933,-18.281273861149497,-7.202352981747294,3.329721073731573,-14.66132962090216,-23.927546941194827,7.035187516003029,-10.899799317281403,-7.641163581944849,0.7844929455810719,17.762479909922906,6.623175500114641,-1.6470216259880222,1.658842470545994,-25.316215452698483,-7.416551574581104,-6.895900485194469,-22.69254022051204,-40.39881714434641,1.3861028016627617,-17.955942579692522,-31.452195426983145,-29.729347678630877,-7.671706511903601,7.16727059722658,-1.6558765075691415,-5.55788325515337,-38.23712495118463,-11.87379063507435,-6.016944049541273,-12.681965805745302,-20.617769701670213,22.83539431604594,3.3331253353532246,8.838716952864942,-1.7906702879866017,30.482543597863746,7.995528441788,-1.111469656773199,-5.617803053824731,-34.851688559141294,16.42848370327645,10.188223935464997,-10.723911395711403,-22.116225653596793,30.683325939118713,-11.295365232175364,-2.81525088982515,-4.603596019220376,19.258718699205957,7.330463486737558,1.1924509602901918,4.605454896638007,-16.86455900197762,21.940169219431795,-0.39813889037851785,-18.75293330966952,-18.183883919215297,31.722041385942028,-7.178823462634538,-2.6510529682113764,-1.2443781613608538,12.496981445447908,6.619114110546891,5.405052222900448,13.708398919835808,-15.979701562264255,-4.3267357401177255,9.26142457752804,-11.965629063248175,-27.098011764859475,11.272045981502144,6.227214338414884,5.9382046160764705,-6.499223247228762,13.283669176142954,6.219594565616734,1.9160599639873621,13.023734045025334,-10.769271946244155,-5.9334876823217,-3.5724451834712445,-17.541318440887753,-18.057907801584435,15.9112862654816,1.2667095842868976,-3.6020645820173427,-4.462519048204193,18.27177201949634,6.204904651969469,4.706010269489484,14.787284187677582,-12.749952096239323,-3.929993095181681,15.960398956060251,-2.579258733027781,-10.408847799356929,7.665581424347456,-4.758979869277928,5.287890219303671
2.0,1.0,2.0,0.0,6.3125983218383945,3.0549340624615704,10.657357507213778,-15.448193832643197,-3.349071428473167,10.159021501700806,-9.231090400793741,-23.944990462272273,2.335780900101138,-7.602926963922314,-2.7847212055805772,-11.83876950720572,3.7228035133043194,6.426160395585947,3.4998403024209255,17.39536705088021,-6.4306485143025025,-5.439200782089496,6.603534106396298,-12.629981268085086,-15.772930814521304,7.6424226690881065,-0.709070259749464,-3.2033833209956013,-21.89640669313719,-0.3148465665996812,6.648417435766687,5.726985008920035,18.32580099916638,-9.370352662599407,-7.262469768433727,5.942811287266946,-7.601733208831675,-17.117268630759263,5.30282982221461,-9.138280168450775,-5.676793915576559,-7.153024845145855,10.806565286235669,6.417853261224013,5.480182713459915,11.152410454773243,-19.620320239471123,-8.340826645736401,3.288751688914231,-6.235131988977724,-22.96427691625537,-3.391799271493285,-19.546671489361962,-12.483372014946493,-23.207169816192064,11.650039388688,6.602370173495854,3.83096512849422,13.948408107484642,-13.867140942235908,-10.677188061732323,-3.8002475512199,-13.124885775620546,-26.36231935244256,7.85506139625075,-1.899411585205063,-12.932558922620288,-21.7722191599252,-0.7417756991860694,6.815126194795478,6.571879469661475,15.655286127334627,-14.790401532317127,-9.285395226412724,1.369320985354113,-9.585347606389139,-27.83245213100216,1.7771141016078211,-3.5154161601074305,2.186930311776405,-7.650821272579469,7.12559981426704,6.79155030831698,3.8271915342159906,12.321688604250093,-14.549037633497253,-6.119443741975311,-1.3572036663997706,-17.54913540378776,-22.855264032201053,13.579329572852338,2.1791204539286615,4.443500741202213,4.19317181192716,26.20677816545252,6.352488825750201,2.147389756379291,12.395736830021995,-10.238866095463617,0.938216453901174,9.637777235550905,-14.492877941130931,-20.89876183645403,11.800033279839317,-4.791155475271136,-11.491559294265134,-13.774799993875027,6.281243692189989,6.518837151876132,-1.028228471717329,8.948398832640736,-16.133454621878283,-3.2105898858797954,5.109513769112964,-22.013616184409216,-26.657849942490156,19.90601718350186,8.650063733107462,0.987337955165247,-4.09410494597747,22.59446265994148,6.378871075188904,2.7001751656707778,12.663687533474228,-10.689502462439123,-1.631192520002068,3.830061556896266,-17.652051579133328,-31.446407195978775,1.099045562267194,-8.917006978404245,-14.627145719083341
3.0,1.0,3.0,0.0,6.841515552448226,0.7134272406539566,2.562652763373715,-20.27928306852203,7.748763723818888,-4.16284056057103,-24.091872003805875,-29.370496816807268,15.15497544746317,-10.83069283953287,-6.910819966617721,-9.593247607722015,3.0169123979355006,7.625873856915469,1.0106796486330154,4.5253161242682,-25.533987188156182,23.06050148930899,1.3245744633158618,-34.39904009006308,-38.6796777283305,28.139847029570515,-18.128907483551863,-7.739851262704311,-2.57851778280691,19.109821514848022,7.157078793701414,2.6895300448233903,5.502942281146603,-29.873864474580724,6.505013093056596,0.3028009684188758,-29.1249292653149,-35.30635474609143,29.739266851113918,-7.975915789740946,-9.052956591928309,3.014812044812479,22.31701913817266,6.7611572876288495,0.4787772532411421,6.218471185800267,-21.445107027556855,10.123282443699662,1.730732296329892,-31.478393261756807,-32.227159829872754,22.64479257130757,-18.109428031728378,-21.262498429750416,-18.66976575095788,9.618360883474104,6.561498011864821,1.959716496757508,7.852510200413648,-18.627521076183115,2.662792623335488,4.176507657967815,-11.511091739830597,-15.226985366381857,27.005710305423474,-1.8711088728423362,-2.846296711844105,12.410865121413238,21.08114173258943,7.278309740512071,2.4541924458509436,3.913463155669702,-22.274719464299928,14.92463482184441,8.463812131147886,-15.316696141871201,-29.92356627843901,18.35760014619864,-5.995508709458643,2.5362982987453093,-1.8227241432820687,6.378060318812782,6.426170122636973,2.3281170310599664,14.414319441568086,-15.84893976584447,-13.63480640069147,5.6670410338818895,-17.808792694219314,-28.312242976748824,2.384588480258079,-3.4598059271728276,1.9332331469867838,-3.8185317065914615,8.835212723826807,6.050958407152019,1.5070923123144668,11.470183153681194,-7.754036718567058,0.45421557431219234,5.327540464271456,-13.241545495313353,-11.170088196147045,14.237557821034718,0.2518416788094311,1.4801661334474174,-9.732206301382957,4.647193033863965,6.253305731959648,3.608819538592208,12.73735796798038,-13.693151448849669,-3.363269751827485,10.225536829117114,-11.33634957334449,-22.44307537116955,10.300945061358115,1.4169482055972207,-2.207433794760456,-18.785992129732414,-2.459322137774295,5.800068466671534,0.0684551823440567,12.111533928821146,-12.847506718909798,-10.48663537890932,10.493779749388505,-1.435876559481717,-9.072035773453765,8.783166061307796,2.071279868750214,-1.5339605770177356
4.0,1.0,4.0,1.0,5.9578329143821,1.1197550391777848,9.457631065718822,-12.69184371846867,-3.2130591156972863,4.2963656172892435,-8.25994309750555,-14.767165244127192,10.21110132613116,-0.5877974781342951,-1.5225684416866938,-5.535013199037505,15.16763003947044,6.137006076776942,0.7385069159857074,9.945153797730459,-15.377394745597867,-0.02471979839935481,10.231301758454647,-18.767116401382907,-31.963699544541104,3.531410227347263,-9.189249850383352,-4.308334959190459,0.48115747978488976,17.011777128125058,6.627750943072901,5.405196521919406,12.94296496916719,-10.70218650942866,12.230063109442758,14.046819763869717,-8.034575718109373,-22.497752236403958,18.60361447524643,1.2839721898661043,-1.857952667976818,-6.446393243355846,18.139095586745466,6.769247956390768,3.7880740352566664,13.12916083570708,-12.999629616524617,13.549299445070956,14.2195619421031,-15.957005954170478,-30.881020390471647,18.99171135144589,-6.0917269633832625,-16.900337544319655,-13.625937459531446,8.039320589265714,6.861315169083268,1.8533961925213793,4.980392570771122,-15.165567142383656,17.561676227722298,11.317573042957566,-14.429475319110992,-29.154787770555387,6.8561706456087945,-19.841657115492428,-8.66401086563403,-5.687316530871282,5.387901900707066,7.127494967786281,1.464853139003282,-0.10368190782034759,-27.176833355339554,15.078037107156428,13.467261046781648,-4.842453505061605,-22.140534296189408,28.333322251770625,-6.158109061383337,-8.632295521994951,-7.927377687571412,9.670194624333584,7.701835940953445,6.015992265690297,2.974753509830088,-25.03948627706675,21.968059099114214,8.910553883507557,-7.385286649150688,-20.543880669547928,23.72131272530045,-19.19583513517419,-8.579375452651133,-6.979862383622758,10.645249023024038,8.00977859166468,4.585373178485774,4.07415271352179,-26.96127527100338,20.531204510036236,4.755876091829063,-16.95407749481269,-23.268516717217164,40.65848625089244,-3.769560986942255,-2.8072473819720565,-4.4838959559554885,18.341343616597523,7.5697573153423905,0.07767468656823512,-1.0588129624264295,-29.036191969182426,11.519157469064186,-1.9311035933437632,-15.480926481970794,-16.042071235033724,35.29488669120078,-3.3143105003092725,3.1760797059888075,4.808832229646536,20.40371710684369,7.754825785624651,7.340951775971662,6.662938838056416,-24.513632747501244,4.695154496862696,-3.104727006699667,-21.653853806569636,-32.76813303968745,17.559524987935745,-6.04194322334276,2.3386419458856396
5.0,1.0,5.0,0.0,6.505522894674735,3.018958142028312,12.717916225906148,-11.007340868665667,-0.8047368982685943,8.346965895868237,-9.756993066240343,-12.680694706096526,21.39044844994662,2.9235447715942717,-6.185105563678266,-10.501038984767696,5.711047958053765,5.967329221306529,0.6997187896301719,10.814612274543512,-15.172411947431023,-5.135433353483547,18.68283291741598,-6.540511875699185,-20.205590709017418,5.042892807641258,-0.4736537821555968,2.9706462541504255,-6.796495753835605,7.57753593731798,6.554366467736624,5.522572238122953,14.428909529245331,-13.95978303167715,-0.719616640499045,11.576536000170105,-16.102250814401568,-27.34725073038798,9.354075302965606,-1.9627332677366633,-2.268508585270372,-14.424409643062859,16.568461714600364,6.313029437100001,4.354647470958364,12.854028897234373,-13.78416981235934,-2.0992213037163094,8.436536138737113,-16.118647595503877,-19.395588157105273,4.9881685178838735,-11.016465915209773,6.525394852739991,-2.8339391041964017,13.035103613772941,6.060484719003524,2.611750155498934,14.186574390928897,-10.635734645537935,-6.602771541464081,6.1192605719050395,-10.377057233167115,-18.452149516364237,14.175190269358696,1.1082018579152735,-10.447791278365989,-8.737261324785763,3.5265825336216916,6.3071258959375385,2.6533795381387324,12.210610345025659,-11.464854942524562,-1.3087611494399471,8.46703875631517,-14.398411435167509,-25.928576252533645,6.720018086495363,3.5182347197062853,8.460343166883995,-5.416970574376845,1.1399969308551114,6.037388498701776,2.1831248623644983,12.414384061694102,-9.086423005531888,2.287683358431879,20.381861626664843,5.494421757958923,-7.942225548051632,17.030856833303954,5.4540365076503114,-2.8462922284205754,-8.950830258513628,8.181317963981217,6.476985327048436,4.088258072285058,16.73553559717622,-9.028347450148683,-3.8267096665725404,17.60408445978764,3.6602264578870005,-5.203233310237942,23.305230488598966,11.847711509979368,3.883474764053128,-1.3845072949803119,13.135764386101695,9.688295458579056,5.012032961457303,9.616938379356426,-7.13025685873568,9.436509563267022,6.440685209034076,12.921044929108312,0.34684188111748004,15.492652104184156,0.8105594379927891,0.19738289504220413,-14.213062603528252,-0.13931527209079334,17.0942802788078,13.817778462664476,-11.417238949177866,-51.59394742086491,26.86678316218336,-14.82249634214776,6.809244865963881,-25.05864800521023,37.810894833151885,-3.6089262012248016,17.046770167117323
6.0,1.0,6.0,0.0,8.524241144656877,1.921887804446132,3.3131397439651917,-32.243929661775574,4.244360601118922,11.148704674043794,-17.145262548606947,-59.94059454740375,-0.20174925616816805,4.052316138831373,23.225488092630624,-31.67145550823568,-11.029935500036977,9.38690755198868,1.0529362561889302,-5.000959659213146,-33.06883476677164,27.91741620221948,14.221048274263142,-6.961897824732447,-43.59436075553945,20.9737601782785,1.6794587489897124,15.591337565755552,-20.305914217830257,5.897387191162261,9.453682171782035,-0.3103448749340823,-6.637841247418379,-39.27089784193062,28.491299746409794,21.11194106912745,-5.137448039035418,-42.379553899917525,35.317048520317535,12.907487203676551,26.59459355026218,-7.749475856813983,17.448237350780264,8.957209316325727,4.439371666082908,0.21652280223347903,-31.910310116724208,30.304854260516834,29.307136317904813,-4.094590254392119,-51.66063738651468,21.645029781378565,3.424992184461578,14.284631725736205,-13.554713570240535,10.555494256602673,7.36964054883789,3.035297323144993,6.103870789514341,-21.518717253647715,14.747751881036518,14.24640346031606,-20.48464535254836,-42.81044900910143,22.503114491409775,12.474667234784468,16.125403380897527,-6.250452430778967,24.9915577082909,6.815187560483698,2.462769559410041,6.508575068174085,-15.924931246974875,11.510649623333103,15.277276809326038,-0.6977867371999975,-22.420501700825284,21.365764514065727,16.722674787866723,17.74292973077368,-2.6284999920281944,16.260386157520003,6.929624409295268,5.74911664748419,9.892714253899092,-23.95518368598062,1.8554418957771406,16.268113767280976,-10.84996306704475,-37.964431457660204,15.465772149631897,8.664359034894517,-0.9841184834110185,-26.75316589828266,9.57039299009678,7.050116403733657,1.785241197700658,7.9460436257865945,-20.8575324805485,5.733250245311799,13.224951046453436,-19.977771570848716,-38.374570191427345,20.855526370501856,14.761714274515063,11.751837146706915,-11.277093016489175,18.90455537318238,6.41436992658615,0.3936721954732456,7.227982288249424,-13.112819370189028,4.064937611617785,12.633039446919746,-8.929960730244682,-21.09571765086569,14.224579499779088,13.380606140653384,18.445869539652836,-4.444042772740697,12.407531991504273,6.2051042455586725,3.9773621673330646,14.421250251693797,-11.157032936279746,-2.720730630120655,14.476930083773889,-0.7078675689721539,-13.99596512214306,13.64480680725099,7.94265199130915,5.282441055691871
7.0,1.0,7.0,1.0,6.341332370984159,0.389492210996411,9.40540224964867,-13.250937786074882,-9.748112875612241,-3.882007355662967,-10.702345384774183,-17.29945806747726,-2.3662540818306153,-11.833412954139593,-0.9454110154896637,-2.358322024923373,4.36708193372655,6.202255652150054,2.0260384360584625,10.075439053888665,-16.92757073790956,-6.0388899513405265,6.216293674755552,-18.35843429514401,-32.1750064114771,2.5948070876248464,-3.485455067153703,-2.279137463069239,-12.958278318200746,8.231807490338518,6.257679748443876,2.7824550909691146,12.195843006193414,-9.429127150766881,-0.7295644676251872,6.688138876764322,-3.792975020730199,-13.21462371624668,13.179924330961187,5.093332270933038,3.6826366020980155,-4.749958222288715,4.705736720347718,6.224294939274077,1.649591773053245,12.42868360235575,-12.053627213121734,0.5576993223594514,16.22063546599683,-12.017940087837355,-28.04901607177009,13.416021237011686,8.114422453699694,-0.8767235102554445,-8.015538110099444,5.314174798502047,5.996597037884824,-0.43784434845778547,7.3957288494091635,-15.927915266826584,-6.795904270773233,3.339277098939083,-8.229457223397537,-17.598468571245576,13.23466100994971,4.950636767856157,1.965562838196559,4.414220892659486,13.896834166424165,6.77553571950135,1.237386469456511,6.945893054288623,-14.934621425041358,17.06170327036334,15.98116829676137,-10.854423928361793,-19.334633108059077,25.58917619159301,-3.9343771067490523,-5.010172866731722,-10.67963039702483,21.269751671051463,5.9881159242625,0.004414073259733236,11.54674377922931,-8.760440064513633,1.4724834534581563,10.93970142933591,-16.089211831523798,-24.70723273123229,11.422306957167446,6.288083135673433,-0.36513310778180286,-8.140207702576689,6.709099071417243,6.563979598744937,3.7581389454131453,10.24049070290509,-19.557270817038834,-5.581964675646689,8.238631537733053,-6.521314404178712,-23.123520473398067,11.331726323282625,-2.02217414088909,-4.48145268606414,-0.9445136077396763,26.59621080193293,6.773695948808822,3.999352438003275,14.402070407132289,-14.130499720228567,-9.232777171215211,2.536490310722624,-15.2665082970809,-29.330154979309008,-3.3706716421283236,-17.71839268299833,-14.597442473452341,-11.788703795322629,9.536863070682667,6.1185691307336665,-0.4870565627621186,11.044743274044002,-17.858946962240662,-17.04589584641668,5.03774503037435,-16.954819633825448,-31.809698031302716,-7.402603773089856,-6.74835780165869,-7.427272891904182
8.0,1.0,8.0,1.0,6.557951540222623,6.127548293935647,18.89142439824527,-5.6654644999921695,1.4281246385110258,15.821537801063576,-6.821341775862305,-16.929397139913203,9.001528314493724,4.970484082696622,8.873408259254056,-13.349885191223255,7.7141525275847815,6.8135204708170045,4.453895000134264,17.912232810980704,-8.814792771380244,-2.8919375850591957,11.58066645167968,-11.555254395416883,-28.53196143619156,3.0847142081533145,2.2945042816332757,12.055698194980172,9.396405719949652,24.191321048884376,6.515278468579486,4.332596788111835,11.333858540524062,-16.738338684053158,-1.6458332404174802,9.928644375216214,-10.217304063473415,-17.932875942190357,22.636169559425284,6.396736900650445,4.3509287904994975,6.326026755561342,23.879663547956486,6.193306126819327,2.0862972976172434,10.248398858048255,-13.814103944919598,-3.386714209937424,6.174246841854556,-10.797335518050422,-31.00812824085162,-3.035415109344952,-4.531888395356041,-0.8789184576114941,-5.661353568773241,14.700765570914553,6.040185086922891,1.6317536506930876,10.143447933184595,-12.986977584086691,-2.7880924749410947,6.42978879858311,-7.900685813656502,-19.185538111202117,13.81700201833757,8.72463140948958,3.2347424008247776,-9.128695749281967,7.30277672518752,6.581639360986376,7.592940107568085,14.589273321203938,-14.949392975731458,-3.750390593060784,2.907826209811728,-10.170500131890176,-15.752885368088561,15.151076719386973,-4.209657023068114,-4.036171406811088,-19.768769064967685,13.679699003293134,6.475855807682508,5.907719123947576,14.719028199920594,-11.425926851498954,-1.3706795248585382,14.701867582242508,-3.966598561768399,-9.840384960563322,10.738598820889989,-3.2381132419333087,8.734419371317541,-7.910400350682736,4.742106382001772,6.745967812139287,4.014160423443258,18.71297750755047,-5.976222588594475,-1.228832427051802,16.078642452337434,-2.689030007338924,-14.237456178004326,17.81946844385125,17.367955346813662,13.427519518095172,-8.783444152728533,9.787035159991275,7.04688314894244,3.844687082888258,12.422750094112095,-24.367089745424426,-16.361883429313398,4.042591926347009,2.308164300349172,-12.804555819403372,14.497538042007424,-3.1288195181869853,2.921811329872082,-0.1981559526197083,24.68567831799635,6.5148050992184885,3.3727309344552925,15.013758409101646,-9.496969256154356,-5.029885886908461,3.711386118826352,-16.181025489456214,-25.81266639088131,3.3541418145216433,-4.279554837546922,-0.6312342992902656
9.0,1.0,9.0,1.0,6.19883110612343,1.5383575507496279,9.740504048777439,-13.8637319743194,-3.5878402241193483,5.03439184933138,-8.647367112029084,-20.201565954275424,13.454002097318206,4.383937996623984,-8.76817777724061,-21.369929433984375,-1.9686815916377296,6.59965788334,-0.21255466921488764,4.9208647056171815,-27.054258550150493,-13.932621895531108,2.6254871364844923,-26.899067944363846,-38.05222288071292,1.0452719680106795,-7.538431382486586,0.25851515633557925,-14.87289904220069,2.0695951256901783,6.3420328739368514,4.802287649754154,14.264159638157071,-12.952880322423908,-3.612913257284861,16.67151740258116,4.694317778510424,-13.844805211716642,9.868567745581618,-1.0789516213290138,-3.174231297651449,-12.352773904130858,-6.789639149345422,6.608375398230062,5.510511391980095,12.920767693969669,-15.245899824840746,-3.2895684469611073,12.908528347754777,-3.670737155960986,-11.986269245239116,16.75554198448549,1.9347112430902391,3.9252458755861475,-14.603088950466795,0.514333344797001,6.396914621574496,3.631349562088586,13.332348054877926,-14.19387404408992,-10.360455905521105,1.6147738680512809,-13.4028422498447,-24.86941379530315,1.7946337314870702,-5.934382848523585,-3.366005233898249,-9.784303947463886,9.175017868990693,6.588274200767582,4.03220717290655,10.546076951441181,-17.174459529046214,-4.741299388549681,4.721760664392078,-9.28997480043147,-20.273376188366516,16.633308097704266,7.227538275540615,2.691932012727407,-13.031766987726197,8.644764392939157,6.3531957823321825,2.8754321211682123,12.058912193662575,-8.967204251631689,2.2656414204455286,11.445397090506976,-6.756175278603504,-7.573362841455574,18.599759493124438,1.0838048394721567,1.7012603921086742,-6.0517213352751185,11.932669261203356,6.089807988574109,1.3933543097947265,13.571607141350427,-11.04581480432947,-5.079433812196302,10.847900618500692,-11.853058226044745,-29.348295810336673,-0.6447412908282858,2.4097003384112257,2.823251379352759,-15.342459461825277,-0.5955784008709045,5.953144924920579,1.1027293464945256,13.00514316566903,-10.340464550796062,-6.233047189160205,9.162650484117648,-11.888012526651885,-29.255468421552003,4.686912912594074,11.996889096404594,7.847117326013488,-9.28439741519613,-1.2953612689514735,6.629614757732708,6.062430172656018,15.799774711178939,-11.643406807806352,-3.682332012303937,12.189364109165204,-3.738553275690422,-16.12345767855111,6.654603018148517,-0.20207422065875202,7.956035560944236
10.0,1.0,10.0,0.0,6.399766355189196,0.8134594086692954,5.974120136916181,-18.63490092383904,-3.1300493288391777,6.287235823193561,-9.847393709673108,-13.859075734166511,8.183422526630135,-10.462574500350362,-1.388424713510552,-12.133820251347876,7.251149306118835,6.171528779415141,1.094374612364121,11.431562554358633,-15.019172532534558,-12.162157607922731,1.7063452725007626,-16.25578165062516,-18.778716365267815,5.152436548391199,-7.036939669715018,-3.761020496274016,-10.415133535784296,11.581321704710769,7.316336671480428,-0.883242354270091,1.933161250573109,-21.20337282720223,22.962232481135413,4.263400685156265,-22.65685457551802,-31.4094998756691,26.098996075756215,-15.829084458360029,-15.379543311135604,-6.97187321571082,15.044889021580282,6.064136313467529,0.5685416228816377,8.175556013582536,-14.303822940224745,-2.62224698732577,3.2131331962732474,-16.923073528399243,-22.582837380328165,8.588023505596865,-7.107725879043809,-6.934222519621822,-9.864523329564221,-0.5809490006226846,6.643784290831431,4.856929023554224,15.504427700516517,-14.893097074484462,-12.147911740469597,0.7506679779607329,-16.271961026849663,-30.800510815271256,-5.127191932726156,-12.680609229768946,-7.45950524996012,-15.678357932570716,8.149348868578013,6.201141670000552,1.9635770052365817,12.859050878406517,-11.08523347209791,-0.39711962279790036,11.51110579606078,-13.871851862535692,-16.830918597688814,9.743382538819535,-9.475401944029135,-8.09956561105846,-13.35438112505127,13.286471898472676,6.367292223919877,3.1748813200237533,13.583026232520254,-13.055357032190686,-7.279730372138189,11.332098074439239,-4.41528654676834,-16.86511105295644,9.986900971128254,2.4250758440030187,2.6050757933649207,-6.037233894637157,2.3682461863787205,6.666324344543628,3.157911309411185,7.758913708726953,-16.001437903477168,10.701722281505546,13.56616588820582,-10.037982545025088,-20.623558487611863,25.565624353134467,4.440497213754173,2.49768761932671,-9.67736570191071,5.047624595201027,6.89187319918461,-0.760670511128595,5.24250793942235,-18.958636814568163,17.613701771012014,8.693979557958357,-24.876320766041683,-39.55041391745426,10.621174913945774,-18.153933951159118,-15.42645219568286,-14.923716384067296,10.795290777839108,7.570840478745994,0.2696339844753668,2.7825332285681825,-20.699127823584288,26.74191396640968,10.61497014690115,-15.032231863636902,-31.901196975430455,28.0090979408829,-5.027231894971704,-9.468723449232812
