SampleNo,Subject,UtteranceNo,TrueClass,feature_value_0,feature_value_1,feature_value_2,feature_value_3,feature_value_4,feature_value_5,feature_value_6,feature_value_7,feature_value_8,feature_value_9,feature_value_10,feature_value_11,feature_value_12,feature_value_13,feature_value_14,feature_value_15,feature_value_16,feature_value_17,feature_value_18,feature_value_19,feature_value_20,feature_value_21,feature_value_22,feature_value_23,feature_value_24,feature_value_25,feature_value_26,feature_value_27,feature_value_28,feature_value_29,feature_value_30,feature_value_31,feature_value_32,feature_value_33,feature_value_34,feature_value_35,feature_value_36,feature_value_37,feature_value_38,feature_value_39,feature_value_40,feature_value_41,feature_value_42,feature_value_43,feature_value_44,feature_value_45,feature_value_46,feature_value_47,feature_value_48,feature_value_49,feature_value_50,feature_value_51,feature_value_52,feature_value_53,feature_value_54,feature_value_55,feature_value_56,feature_value_57,feature_value_58,feature_value_59,feature_value_60,feature_value_61,feature_value_62,feature_value_63,feature_value_64,feature_value_65,feature_value_66,feature_value_67,feature_value_68,feature_value_69,feature_value_70,feature_value_71,feature_value_72,feature_value_73,feature_value_74,feature_value_75,feature_value_76,feature_value_77,feature_value_78,feature_value_79,feature_value_80,feature_value_81,feature_value_82,feature_value_83,feature_value_84,feature_value_85,feature_value_86,feature_value_87,feature_value_88,feature_value_89,feature_value_90,feature_value_91,feature_value_92,feature_value_93,feature_value_94,feature_value_95,feature_value_96,feature_value_97,feature_value_98,feature_value_99,feature_value_100,feature_value_101,feature_value_102,feature_value_103,feature_value_104,feature_value_105,feature_value_106,feature_value_107,feature_value_108,feature_value_109,feature_value_110,feature_value_111,feature_value_112,feature_value_113,feature_value_114,feature_value_115,feature_value_116,feature_value_117,feature_value_118,feature_value_119,feature_value_120,feature_value_121,feature_value_122,feature_value_123,feature_value_124,feature_value_125,feature_value_126,feature_value_127
1,1,1,0,6.235752503,3.081725574,11.06054041,-12.09266579,-3.031640226,1.655634787,-11.02402645,-18.94167656,6.170477928,-5.568137493,-2.428045715,-8.6187405,9.357723744,6.066122506,3.150029782,12.94057621,-12.90237788,-4.892449337,14.9412672,1.429988773,-7.975953552,13.04654747,-1.549121345,-3.547194959,-6.813494364,11.42429896,6.317412127,1.899712083,8.653652399,-18.28127386,-7.202352982,3.329721074,-14.66132962,-23.92754694,7.035187516,-10.89979932,-7.641163582,0.784492946,17.76247991,6.6231755,-1.647021626,1.658842471,-25.31621545,-7.416551575,-6.895900485,-22.69254022,-40.39881714,1.386102802,-17.95594258,-31.45219543,-29.72934768,-7.671706512,7.167270597,-1.655876508,-5.557883255,-38.23712495,-11.87379064,-6.01694405,-12.68196581,-20.6177697,22.83539432,3.333125335,8.838716953,-1.790670288,30.4825436,7.995528442,-1.111469657,-5.617803054,-34.85168856,16.4284837,10.18822394,-10.7239114,-22.11622565,30.68332594,-11.29536523,-2.81525089,-4.603596019,19.2587187,7.330463487,1.19245096,4.605454897,-16.864559,21.94016922,-0.39813889,-18.75293331,-18.18388392,31.72204139,-7.178823463,-2.651052968,-1.244378161,12.49698145,6.619114111,5.405052223,13.70839892,-15.97970156,-4.32673574,9.261424578,-11.96562906,-27.09801176,11.27204598,6.227214338,5.938204616,-6.499223247,13.28366918,6.219594566,1.916059964,13.02373405,-10.76927195,-5.933487682,-3.572445183,-17.54131844,-18.0579078,15.91128627,1.266709584,-3.602064582,-4.462519048,18.27177202,6.204904652,4.706010269,14.78728419,-12.7499521,-3.929993095,15.96039896,-2.579258733,-10.4088478,7.665581424,-4.758979869,5.287890219
2,1,2,0,6.312598322,3.054934062,10.65735751,-15.44819383,-3.349071428,10.1590215,-9.231090401,-23.94499046,2.3357809,-7.602926964,-2.784721206,-11.83876951,3.722803513,6.426160396,3.499840302,17.39536705,-6.430648514,-5.439200782,6.603534106,-12.62998127,-15.77293081,7.642422669,-0.70907026,-3.203383321,-21.89640669,-0.314846567,6.648417436,5.726985009,18.325801,-9.370352663,-7.262469768,5.942811287,-7.601733209,-17.11726863,5.302829822,-9.138280168,-5.676793916,-7.153024845,10.80656529,6.417853261,5.480182713,11.15241045,-19.62032024,-8.340826646,3.288751689,-6.235131989,-22.96427692,-3.391799271,-19.54667149,-12.48337201,-23.20716982,11.65003939,6.602370173,3.830965128,13.94840811,-13.86714094,-10.67718806,-3.800247551,-13.12488578,-26.36231935,7.855061396,-1.899411585,-12.93255892,-21.77221916,-0.741775699,6.815126195,6.57187947,15.65528613,-14.79040153,-9.285395226,1.369320985,-9.585347606,-27.83245213,1.777114102,-3.51541616,2.186930312,-7.650821273,7.125599814,6.791550308,3.827191534,12.3216886,-14.54903763,-6.119443742,-1.357203666,-17.5491354,-22.85526403,13.57932957,2.179120454,4.443500741,4.193171812,26.20677817,6.352488826,2.147389756,12.39573683,-10.2388661,0.938216454,9.637777236,-14.49287794,-20.89876184,11.80003328,-4.791155475,-11.49155929,-13.77479999,6.281243692,6.518837152,-1.028228472,8.948398833,-16.13345462,-3.210589886,5.109513769,-22.01361618,-26.65784994,19.90601718,8.650063733,0.987337955,-4.094104946,22.59446266,6.378871075,2.700175166,12.66368753,-10.68950246,-1.63119252,3.830061557,-17.65205158,-31.4464072,1.099045562,-8.917006978,-14.62714572
3,1,3,0,6.841515552,0.713427241,2.562652763,-20.27928307,7.748763724,-4.162840561,-24.091872,-29.37049682,15.15497545,-10.83069284,-6.910819967,-9.593247608,3.016912398,7.625873857,1.010679649,4.525316124,-25.53398719,23.06050149,1.324574463,-34.39904009,-38.67967773,28.13984703,-18.12890748,-7.739851263,-2.578517783,19.10982151,7.157078794,2.689530045,5.502942281,-29.87386447,6.505013093,0.302800968,-29.12492927,-35.30635475,29.73926685,-7.97591579,-9.052956592,3.014812045,22.31701914,6.761157288,0.478777253,6.218471186,-21.44510703,10.12328244,1.730732296,-31.47839326,-32.22715983,22.64479257,-18.10942803,-21.26249843,-18.66976575,9.618360883,6.561498012,1.959716497,7.8525102,-18.62752108,2.662792623,4.176507658,-11.51109174,-15.22698537,27.00571031,-1.871108873,-2.846296712,12.41086512,21.08114173,7.278309741,2.454192446,3.913463156,-22.27471946,14.92463482,8.463812131,-15.31669614,-29.92356628,18.35760015,-5.995508709,2.536298299,-1.822724143,6.378060319,6.426170123,2.328117031,14.41431944,-15.84893977,-13.6348064,5.667041034,-17.80879269,-28.31224298,2.38458848,-3.459805927,1.933233147,-3.818531707,8.835212724,6.050958407,1.507092312,11.47018315,-7.754036719,0.454215574,5.327540464,-13.2415455,-11.1700882,14.23755782,0.251841679,1.480166133,-9.732206301,4.647193034,6.253305732,3.608819539,12.73735797,-13.69315145,-3.363269752,10.22553683,-11.33634957,-22.44307537,10.30094506,1.416948206,-2.207433795,-18.78599213,-2.459322138,5.800068467,0.068455182,12.11153393,-12.84750672,-10.48663538,10.49377975,-1.435876559,-9.072035773,8.783166061,2.071279869,-1.533960577
4,1,4,1,5.957832914,1.119755039,9.457631066,-12.69184372,-3.213059116,4.296365617,-8.259943098,-14.76716524,10.21110133,-0.587797478,-1.522568442,-5.535013199,15.16763004,6.137006077,0.738506916,9.945153798,-15.37739475,-0.024719798,10.23130176,-18.7671164,-31.96369954,3.531410227,-9.18924985,-4.308334959,0.48115748,17.01177713,6.627750943,5.405196522,12.94296497,-10.70218651,12.23006311,14.04681976,-8.034575718,-22.49775224,18.60361448,1.28397219,-1.857952668,-6.446393243,18.13909559,6.769247956,3.788074035,13.12916084,-12.99962962,13.54929945,14.21956194,-15.95700595,-30.88102039,18.99171135,-6.091726963,-16.90033754,-13.62593746,8.039320589,6.861315169,1.853396193,4.980392571,-15.16556714,17.56167623,11.31757304,-14.42947532,-29.15478777,6.856170646,-19.84165712,-8.664010866,-5.687316531,5.387901901,7.127494968,1.464853139,-0.103681908,-27.17683336,15.07803711,13.46726105,-4.842453505,-22.1405343,28.33332225,-6.158109061,-8.632295522,-7.927377688,9.670194624,7.701835941,6.015992266,2.97475351,-25.03948628,21.9680591,8.910553884,-7.385286649,-20.54388067,23.72131273,-19.19583514,-8.579375453,-6.979862384,10.64524902,8.009778592,4.585373178,4.074152714,-26.96127527,20.53120451,4.755876092,-16.95407749,-23.26851672,40.65848625,-3.769560987,-2.807247382,-4.483895956,18.34134362,7.569757315,0.077674687,-1.058812962,-29.03619197,11.51915747,-1.931103593,-15.48092648,-16.04207124,35.29488669,-3.3143105,3.176079706,4.80883223,20.40371711,7.754825786,7.340951776,6.662938838,-24.51363275,4.695154497,-3.104727007,-21.65385381,-32.76813304,17.55952499,-6.041943223,2.338641946
5,1,5,0,6.505522895,3.018958142,12.71791623,-11.00734087,-0.804736898,8.346965896,-9.756993066,-12.68069471,21.39044845,2.923544772,-6.185105564,-10.50103898,5.711047958,5.967329221,0.69971879,10.81461227,-15.17241195,-5.135433353,18.68283292,-6.540511876,-20.20559071,5.042892808,-0.473653782,2.970646254,-6.796495754,7.577535937,6.554366468,5.522572238,14.42890953,-13.95978303,-0.71961664,11.576536,-16.10225081,-27.34725073,9.354075303,-1.962733268,-2.268508585,-14.42440964,16.56846171,6.313029437,4.354647471,12.8540289,-13.78416981,-2.099221304,8.436536139,-16.1186476,-19.39558816,4.988168518,-11.01646592,6.525394853,-2.833939104,13.03510361,6.060484719,2.611750155,14.18657439,-10.63573465,-6.602771541,6.119260572,-10.37705723,-18.45214952,14.17519027,1.108201858,-10.44779128,-8.737261325,3.526582534,6.307125896,2.653379538,12.21061035,-11.46485494,-1.308761149,8.467038756,-14.39841144,-25.92857625,6.720018086,3.51823472,8.460343167,-5.416970574,1.139996931,6.037388499,2.183124862,12.41438406,-9.086423006,2.287683358,20.38186163,5.494421758,-7.942225548,17.03085683,5.454036508,-2.846292228,-8.950830259,8.181317964,6.476985327,4.088258072,16.7355356,-9.02834745,-3.826709667,17.60408446,3.660226458,-5.20323331,23.30523049,11.84771151,3.883474764,-1.384507295,13.13576439,9.688295459,5.012032961,9.616938379,-7.130256859,9.436509563,6.440685209,12.92104493,0.346841881,15.4926521,0.810559438,0.197382895,-14.2130626,-0.139315272,17.09428028,13.81777846,-11.41723895,-51.59394742,26.86678316,-14.82249634,6.809244866,-25.05864801,37.81089483,-3.608926201,17.04677017
6,1,6,0,8.524241145,1.921887804,3.313139744,-32.24392966,4.244360601,11.14870467,-17.14526255,-59.94059455,-0.201749256,4.052316139,23.22548809,-31.67145551,-11.0299355,9.386907552,1.052936256,-5.000959659,-33.06883477,27.9174162,14.22104827,-6.961897825,-43.59436076,20.97376018,1.679458749,15.59133757,-20.30591422,5.897387191,9.453682172,-0.310344875,-6.637841247,-39.27089784,28.49129975,21.11194107,-5.137448039,-42.3795539,35.31704852,12.9074872,26.59459355,-7.749475857,17.44823735,8.957209316,4.439371666,0.216522802,-31.91031012,30.30485426,29.30713632,-4.094590254,-51.66063739,21.64502978,3.424992184,14.28463173,-13.55471357,10.55549426,7.369640549,3.035297323,6.10387079,-21.51871725,14.74775188,14.24640346,-20.48464535,-42.81044901,22.50311449,12.47466723,16.12540338,-6.250452431,24.99155771,6.81518756,2.462769559,6.508575068,-15.92493125,11.51064962,15.27727681,-0.697786737,-22.4205017,21.36576451,16.72267479,17.74292973,-2.628499992,16.26038616,6.929624409,5.749116647,9.892714254,-23.95518369,1.855441896,16.26811377,-10.84996307,-37.96443146,15.46577215,8.664359035,-0.984118483,-26.7531659,9.57039299,7.050116404,1.785241198,7.946043626,-20.85753248,5.733250245,13.22495105,-19.97777157,-38.37457019,20.85552637,14.76171427,11.75183715,-11.27709302,18.90455537,6.414369927,0.393672195,7.227982288,-13.11281937,4.064937612,12.63303945,-8.92996073,-21.09571765,14.2245795,13.38060614,18.44586954,-4.444042773,12.40753199,6.205104246,3.977362167,14.42125025,-11.15703294,-2.72073063,14.47693008,-0.707867569,-13.99596512,13.64480681,7.942651991,5.282441056
7,1,7,1,6.341332371,0.389492211,9.40540225,-13.25093779,-9.748112876,-3.882007356,-10.70234538,-17.29945807,-2.366254082,-11.83341295,-0.945411015,-2.358322025,4.367081934,6.202255652,2.026038436,10.07543905,-16.92757074,-6.038889951,6.216293675,-18.3584343,-32.17500641,2.594807088,-3.485455067,-2.279137463,-12.95827832,8.23180749,6.257679748,2.782455091,12.19584301,-9.429127151,-0.729564468,6.688138877,-3.792975021,-13.21462372,13.17992433,5.093332271,3.682636602,-4.749958222,4.70573672,6.224294939,1.649591773,12.4286836,-12.05362721,0.557699322,16.22063547,-12.01794009,-28.04901607,13.41602124,8.114422454,-0.87672351,-8.01553811,5.314174799,5.996597038,-0.437844348,7.395728849,-15.92791527,-6.795904271,3.339277099,-8.229457223,-17.59846857,13.23466101,4.950636768,1.965562838,4.414220893,13.89683417,6.77553572,1.237386469,6.945893054,-14.93462143,17.06170327,15.9811683,-10.85442393,-19.33463311,25.58917619,-3.934377107,-5.010172867,-10.6796304,21.26975167,5.988115924,0.004414073,11.54674378,-8.760440065,1.472483453,10.93970143,-16.08921183,-24.70723273,11.42230696,6.288083136,-0.365133108,-8.140207703,6.709099071,6.563979599,3.758138945,10.2404907,-19.55727082,-5.581964676,8.238631538,-6.521314404,-23.12352047,11.33172632,-2.022174141,-4.481452686,-0.944513608,26.5962108,6.773695949,3.999352438,14.40207041,-14.13049972,-9.232777171,2.536490311,-15.2665083,-29.33015498,-3.370671642,-17.71839268,-14.59744247,-11.7887038,9.536863071,6.118569131,-0.487056563,11.04474327,-17.85894696,-17.04589585,5.03774503,-16.95481963,-31.80969803,-7.402603773,-6.748357802,-7.427272892
8,1,8,1,6.55795154,6.127548294,18.8914244,-5.6654645,1.428124639,15.8215378,-6.821341776,-16.92939714,9.001528314,4.970484083,8.873408259,-13.34988519,7.714152528,6.813520471,4.453895,17.91223281,-8.814792771,-2.891937585,11.58066645,-11.5552544,-28.53196144,3.084714208,2.294504282,12.05569819,9.39640572,24.19132105,6.515278469,4.332596788,11.33385854,-16.73833868,-1.64583324,9.928644375,-10.21730406,-17.93287594,22.63616956,6.396736901,4.35092879,6.326026756,23.87966355,6.193306127,2.086297298,10.24839886,-13.81410394,-3.38671421,6.174246842,-10.79733552,-31.00812824,-3.035415109,-4.531888395,-0.878918458,-5.661353569,14.70076557,6.040185087,1.631753651,10.14344793,-12.98697758,-2.788092475,6.429788799,-7.900685814,-19.18553811,13.81700202,8.724631409,3.234742401,-9.128695749,7.302776725,6.581639361,7.592940108,14.58927332,-14.94939298,-3.750390593,2.90782621,-10.17050013,-15.75288537,15.15107672,-4.209657023,-4.036171407,-19.76876906,13.679699,6.475855808,5.907719124,14.7190282,-11.42592685,-1.370679525,14.70186758,-3.966598562,-9.840384961,10.73859882,-3.238113242,8.734419371,-7.910400351,4.742106382,6.745967812,4.014160423,18.71297751,-5.976222589,-1.228832427,16.07864245,-2.689030007,-14.23745618,17.81946844,17.36795535,13.42751952,-8.783444153,9.78703516,7.046883149,3.844687083,12.42275009,-24.36708975,-16.36188343,4.042591926,2.3081643,-12.80455582,14.49753804,-3.128819518,2.92181133,-0.198155953,24.68567832,6.514805099,3.372730934,15.01375841,-9.496969256,-5.029885887,3.711386119,-16.18102549,-25.81266639,3.354141815,-4.279554838,-0.631234299
9,1,9,1,6.198831106,1.538357551,9.740504049,-13.86373197,-3.587840224,5.034391849,-8.647367112,-20.20156595,13.4540021,4.383937997,-8.768177777,-21.36992943,-1.968681592,6.599657883,-0.212554669,4.920864706,-27.05425855,-13.9326219,2.625487136,-26.89906794,-38.05222288,1.045271968,-7.538431382,0.258515156,-14.87289904,2.069595126,6.342032874,4.80228765,14.26415964,-12.95288032,-3.612913257,16.6715174,4.694317779,-13.84480521,9.868567746,-1.078951621,-3.174231298,-12.3527739,-6.789639149,6.608375398,5.510511392,12.92076769,-15.24589982,-3.289568447,12.90852835,-3.670737156,-11.98626925,16.75554198,1.934711243,3.925245876,-14.60308895,0.514333345,6.396914622,3.631349562,13.33234805,-14.19387404,-10.36045591,1.614773868,-13.40284225,-24.8694138,1.794633731,-5.934382849,-3.366005234,-9.784303947,9.175017869,6.588274201,4.032207173,10.54607695,-17.17445953,-4.741299389,4.721760664,-9.2899748,-20.27337619,16.6333081,7.227538276,2.691932013,-13.03176699,8.644764393,6.353195782,2.875432121,12.05891219,-8.967204252,2.26564142,11.44539709,-6.756175279,-7.573362841,18.59975949,1.083804839,1.701260392,-6.051721335,11.93266926,6.089807989,1.39335431,13.57160714,-11.0458148,-5.079433812,10.84790062,-11.85305823,-29.34829581,-0.644741291,2.409700338,2.823251379,-15.34245946,-0.595578401,5.953144925,1.102729346,13.00514317,-10.34046455,-6.233047189,9.162650484,-11.88801253,-29.25546842,4.686912913,11.9968891,7.847117326,-9.284397415,-1.295361269,6.629614758,6.062430173,15.79977471,-11.64340681,-3.682332012,12.18936411,-3.738553276,-16.12345768,6.654603018,-0.202074221,7.956035561
10,1,10,0,6.399766355,0.813459409,5.974120137,-18.63490092,-3.130049329,6.287235823,-9.84739371,-13.85907573,8.183422527,-10.4625745,-1.388424714,-12.13382025,7.251149306,6.171528779,1.094374612,11.43156255,-15.01917253,-12.16215761,1.706345273,-16.25578165,-18.77871637,5.152436548,-7.03693967,-3.761020496,-10.41513354,11.5813217,7.316336671,-0.883242354,1.933161251,-21.20337283,22.96223248,4.263400685,-22.65685458,-31.40949988,26.09899608,-15.82908446,-15.37954331,-6.971873216,15.04488902,6.064136313,0.568541623,8.175556014,-14.30382294,-2.622246987,3.213133196,-16.92307353,-22.58283738,8.588023506,-7.107725879,-6.93422252,-9.86452333,-0.580949001,6.643784291,4.856929024,15.5044277,-14.89309707,-12.14791174,0.750667978,-16.27196103,-30.80051082,-5.127191933,-12.68060923,-7.45950525,-15.67835793,8.149348869,6.20114167,1.963577005,12.85905088,-11.08523347,-0.397119623,11.5111058,-13.87185186,-16.8309186,9.743382539,-9.475401944,-8.099565611,-13.35438113,13.2864719,6.367292224,3.17488132,13.58302623,-13.05535703,-7.279730372,11.33209807,-4.415286547,-16.86511105,9.986900971,2.425075844,2.605075793,-6.037233895,2.368246186,6.666324345,3.157911309,7.758913709,-16.0014379,10.70172228,13.56616589,-10.03798255,-20.62355849,25.56562435,4.440497214,2.497687619,-9.677365702,5.047624595,6.891873199,-0.760670511,5.242507939,-18.95863681,17.61370177,8.693979558,-24.87632077,-39.55041392,10.62117491,-18.15393395,-15.4264522,-14.92371638,10.79529078,7.570840479,0.269633984,2.782533229,-20.69912782,26.74191397,10.61497015,-15.03223186,-31.90119698,28.00909794,-5.027231895,-9.468723449
